lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,train/pearson_r_epoch,valid/pearson_r_epoch,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
,1331,1.9179621934890747,19179.783203125,1.9179621934890747,0.05043661966919899,nan,nan,nan,0.0,0.22222228348255157,7.223158172564581e-05,8.75814748724224e-06,6.347343150991946e-05,0.22222228348255157,1.9043693542480469,1.9179621934890747,17.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,0.5551832914352417,0.6399266719818115,17,,,,,,,,,,,,,
,1331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,1.9507534503936768,19507.728515625,1.9507534503936768,0.035937633365392685,nan,nan,nan,0.0,0.22222228348255157,8.886386785889044e-05,1.558589792693965e-05,7.327795901801437e-05,0.22222228348255157
0.004,1332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1405,1.8832491636276245,18832.7109375,1.8832491636276245,0.062180954962968826,nan,nan,nan,0.0,0.23456791043281555,9.243531530955806e-05,2.2256721422309056e-05,7.01785902492702e-05,0.23456791043281555,1.889585256576538,1.8832491636276245,18.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,0.6580615043640137,0.6854283809661865,18,,,,,,,,,,,,,
,1405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,1.89691960811615,18969.431640625,1.89691960811615,0.05413025617599487,nan,nan,nan,0.0,0.2345678210258484,9.891746594803408e-05,2.0585861420840956e-05,7.833159907022491e-05,0.2345678210258484
0.004,1406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1479,1.9682117700576782,19682.482421875,1.9682117700576782,0.03327236324548721,nan,nan,nan,0.0,0.2469135969877243,0.0001464344240957871,6.478949944721535e-05,8.164493192452937e-05,0.2469135969877243,1.9446238279342651,1.9682117700576782,19.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,0.5934684872627258,0.6452735662460327,19,,,,,,,,,,,,,
,1479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1.90571928024292,19057.494140625,1.90571928024292,0.050967857241630554,nan,nan,nan,0.0,0.24691373109817505,0.00012528352090157568,4.2693853174569085e-05,8.258966408902779e-05,0.24691373109817505
0.004,1480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1553,1.8819787502288818,18820.072265625,1.8819787502288818,0.062454089522361755,nan,nan,nan,0.0,0.25925925374031067,0.00011060088581871241,3.453952740528621e-05,7.606136932736263e-05,0.25925925374031067,1.9007723331451416,1.8819787502288818,20.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,0.6278223395347595,0.6411474943161011,20,,,,,,,,,,,,,
,1553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,1.9255855083465576,19256.228515625,1.9255855083465576,0.04402512311935425,nan,nan,nan,0.0,0.2592594027519226,0.0001423482462996617,5.623568722512573e-05,8.611253724666312e-05,0.2592594027519226
0.004,1554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1627,1.8582203388214111,18582.48046875,1.8582203388214111,0.07116714119911194,nan,nan,nan,0.0,0.2716049551963806,0.00010023214417742565,1.8733438992057927e-05,8.149871428031474e-05,0.2716049551963806,1.870985984802246,1.8582203388214111,21.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,0.70368891954422,0.6879324913024902,21,,,,,,,,,,,,,
,1627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1.8952478170394897,18952.818359375,1.8952478170394897,0.054235219955444336,nan,nan,nan,0.0,0.2716047167778015,0.00012535351561382413,3.8872665754752234e-05,8.648082439322025e-05,0.2716047167778015
